questionId,answer,createdAt
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:32.567Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:32.640Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:32.752Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:32.878Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:32.946Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:33.073Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:33.141Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:33.222Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:33.360Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:33.411Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:33.521Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:33.584Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:33.698Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:33.749Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:33.860Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:33.976Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:34.087Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:34.138Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:34.282Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:34.345Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:34.445Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:34.498Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:34.646Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:34.751Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:34.875Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:34.978Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:35.119Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:35.244Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:35.304Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:35.433Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:35.520Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:35.579Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:35.691Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:35.764Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:38.562Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:38.678Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:38.756Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:47.149Z
