questionId,location,totalCount,totalDuration,avgInterval
7CwNGdoXD94vyibNv,maker faire,252,10318.358,41.1089960159
kRD6eKqNFwfqYjEzf,maker faire,99,4888.831,49.8860306122
zL4PvMjzyDmDKyCrx,market street,133,67934.666,514.656560606
TqHEaicpZ6zzxjwed,market street,75,9465.179,127.907824324
yGjQ2dmEnxc8qWoLw,maker faire,32,1656.783,53.4446129032
DBZgk7QyHvytNc74m,maker faire,253,12057.714,47.8480714286
9fYMqjMAJsbjGvYne,chi 2017,18,503.62,29.6247058824
X5APqdYtDz5KxJH7f,market street,80,26589.369,336.574291139
4sXbvj8JWnCM6AK2R,maker faire,117,5291.545,45.6167672414
vmd2vQAnH5pGN5nJG,maker faire,72,3125.936,44.0272676056
nzxqK3PHZDMmfqAPt,maker faire,196,8137.241,41.7294410256
4sXbvj8JWnCM6AK2R,market street,43,5776.876,137.544666667
BisoWka3JSjnNzZJs,chi 2017,12,176.301,16.0273636364
K6kuBFTycTrSRSiv5,maker faire,233,10168.611,43.8302198276
zCS6oY62KYhRNTzca,market street,358,496027.875,1389.43382353
GHgMir2gLMTD4YxWo,chi 2017,25,404.782,16.8659166667
DZXsQJTtvioy5HiiP,maker faire,119,4549.819,38.5577881356
Ka4FqpXjLL7r27RQn,chi 2017,4,28.56,9.52
R3JFQ5sR9wFPyAPSd,maker faire,168,6712.523,40.194748503
7w5oAnFHdhGQAKoFn,maker faire,89,4093.378,46.5156590909
xFqSRCcfXFjjvnKZ2,maker faire,216,9817.455,45.6625813953
YxXZsLboTg8fdHvoE,chi 2017,5,107.307,26.82675
7J9RCc7cFYDsRQzpf,market street,134,19523.103,146.79024812
Quh6722Fhh65iGftN,market street,113,16004.91,142.900982143
ZJQxkgxM4Fh6grBLj,maker faire,421,20796.304,49.5150095238
RJWrAWsXWZ55JkSL3,market street,85,24243.97,288.618690476
63wNvoJXnmFacbomd,maker faire,34,1626.809,49.2972424242
4sXbvj8JWnCM6AK2R,chi 2017,2,0.136,0.136
MWzvuJAbwrWEiYRad,market street,104,12299.451,119.412145631
3gyiSKjsP3zRowhih,asian art museum,20,462.838,24.3598947368
o2crRNrntyhFaZkPb,maker faire,152,8535.59,56.5270860927
vmd2vQAnH5pGN5nJG,market street,60,9047.996,153.355864407
t6aqneCpg4wNCJQ7w,chi 2017,6,150.698,30.1396
AGwDAaCLN2fXn778N,market street,51,5411.523,108.23046
DBZgk7QyHvytNc74m,chi 2017,18,711.914,41.8772941176
AGwDAaCLN2fXn778N,maker faire,328,18312.491,56.0015015291
DjqY48Yp3xpgyLkgj,asian art museum,21,4637.648,231.8824
B4jDTkB3bj28hoKzN,market street,403,51935.924,129.193840796
Y6PSgynbyC98sSPk7,market street,83,83376.096,1016.78165854
tzYANsqNaghnsKFBd,market street,20,719.828,37.8856842105
t6aqneCpg4wNCJQ7w,asian art museum,4,85.86,28.62
BqkYrLifXqfzXod8C,asian art museum,3,58.574,29.287
Ab835dYJXWpx7xyTB,chi 2017,19,405.302,22.5167777778
k9s5pMKTpQhiRGutp,chi 2017,28,873.491,32.3515185185
PFgqadzeGB4YeaeoR,market street,83,19370.569,236.22645122
rj3vKeeTrxoGbLC7Y,market street,425,53022.536,125.053150943
xFqSRCcfXFjjvnKZ2,asian art museum,16,482.951,32.1967333333
FtJ7ffv4XJbKQjzuh,maker faire,77,3303.11,43.4619736842
rj3vKeeTrxoGbLC7Y,maker faire,542,24573.91,45.4231238447
pkejnaqEvq48KuaF8,chi 2017,61,2629.134,43.8189
t6aqneCpg4wNCJQ7w,maker faire,208,8922.369,43.1032318841
9DbRHQGcof6Z4by8T,asian art museum,5,106.031,26.50775
zL4PvMjzyDmDKyCrx,maker faire,175,8386.491,48.1982241379
X5APqdYtDz5KxJH7f,chi 2017,33,1148.728,35.89775
zCS6oY62KYhRNTzca,asian art museum,17,860.812,53.80075
3k8nyy8grNpaxv7Nz,chi 2017,79,1965.257,25.1956025641
Ka4FqpXjLL7r27RQn,market street,16,1721.669,114.777933333
LZCSpQCgiaiteuaKd,asian art museum,4,63.629,21.2096666667
7CwNGdoXD94vyibNv,market street,204,66908.822,329.600108374
2rJA2ZthvJfuhoE6W,asian art museum,27,1040.832,40.032
88hYnvneC8Wty2yqk,chi 2017,13,771.839,64.3199166667
b7vqhek5JJa6mEDdm,chi 2017,12,429.157,39.0142727273
2FbZqoEDD7fsFBhmJ,chi 2017,9,56.845,7.105625
Quh6722Fhh65iGftN,chi 2017,1,0.0,None
Ce3GTajiyJuJYhw2q,asian art museum,2,35.414,35.414
bEEerWynEfZbKncmA,maker faire,414,17314.566,41.9238886199
zCS6oY62KYhRNTzca,maker faire,309,14787.558,48.0115519481
ojc2RDYr6s3Bg5GK7,market street,59,6130.909,105.705327586
ELJxiSALznMC3kx8t,chi 2017,27,800.644,30.794
vAcRfxH5iDioZ5ZBX,chi 2017,24,679.713,29.5527391304
GgGxGgo2BDGTddA5S,maker faire,82,2432.989,30.0369012346
gHsZ4cj2TP4i3QwBF,chi 2017,22,851.636,40.5540952381
curhpSNJhyzEghLse,asian art museum,19,489.435,27.1908333333
GgGxGgo2BDGTddA5S,market street,30,3018.201,104.075896552
w3FPzq2TfH5h6zj2A,market street,144,17898.072,125.161342657
TqPKfipzAcY8vz7q5,maker faire,160,7302.938,45.930427673
LnxtxaT6yk9dSgHfa,asian art museum,37,681.256,18.9237777778
qCHiu2fA8Qa5skKZj,maker faire,157,7216.815,46.2616346154
ZZPFXMbDbPT3iXGvn,chi 2017,18,351.807,20.6945294118
p8fxzcbuRfgToCiKt,market street,24,7372.434,320.540608696
B4jDTkB3bj28hoKzN,chi 2017,7,138.324,23.054
YeHrurDLdJZqyhPBK,market street,241,28061.709,116.9237875
gBDirbvqR2cnpDuXr,market street,9,601.77,75.22125
bpTm4aB8RAi2qvB3G,maker faire,45,2654.076,60.3199090909
KQHfyz3XwTLDhqApY,market street,121,12840.836,107.006966667
sX6s2eEDZzuqH2eb8,chi 2017,12,656.091,59.6446363636
TqPKfipzAcY8vz7q5,chi 2017,7,191.184,31.864
TqPKfipzAcY8vz7q5,market street,80,8922.26,112.94
9DbRHQGcof6Z4by8T,market street,47,5271.595,114.599891304
j5J4kjKckMJD4R3nJ,chi 2017,9,52.337,6.542125
Quh6722Fhh65iGftN,maker faire,83,3164.855,38.5957926829
HG4uaQPuhgBCeDMWv,chi 2017,16,323.322,21.5548
ZJxSzJph2LE6inHwg,maker faire,345,15625.775,45.4237645349
mMNXZ9mktJF4tMHxH,market street,997,612462.507,614.922195783
ojc2RDYr6s3Bg5GK7,chi 2017,1,0.0,None
HmpJLbaouRnqsTr5F,chi 2017,66,2570.458,39.5455076923
7bpFZzN4SDWwtTTtv,chi 2017,1,0.0,None
YQ8bQTX7HByfxGmih,asian art museum,14,467.159,35.9353076923
MZ5QtaSxgonppBYm9,asian art museum,9,194.535,24.316875
d8o7ogQZXrQweGAqH,asian art museum,5,124.715,31.17875
k9s5pMKTpQhiRGutp,market street,320,133778.203,419.367407524
